Czas;Plec;Wiek;Wsparcie;SE;Przekonania_kulturowe;Przekonania_ekonomiczne;Fundamentalizm_religijny;Ksenofobia;Akceptacja_kapitalizmu;Antyinterwencjonizm;GSES_1;GSES_2;GSES_3;GSES_4;GSES_5;GSES_6;GSES_7;GSES_8;GSES_9;GSES_10;KPP_1;KPP_2;KPP_3;KPP_4;KPP_5;KPP_6;KPP_6_ODW;KPP_7;KPP_8;KPP_8_ODW;KPP_9;KPP_10;KPP_11;KPP_11_ODW;KPP_12;KPP_12_ODW;KPP_13;KPP_14;KPP_14_ODW;KPP_15;KPP_16;KPP_16_ODW;KPP_17;KPP_17_ODW;KPP_18;KPP_19;KPP_19_ODW
2020/07/09 6:29:35 PM CET;1;27;1;32;3,33;2,9;3,33;3,33;2,67;3,14;4;2;3;2;3;4;4;4;3;3;2;2;4;2;2;4;2;4;2;4;5;4;1;5;5;1;2;4;2;4;2;4;2;4;2;1;5
2020/07/10 12:21:22 PM CET;1;26;0;34;2,75;2,52;2,5;3;1,33;3,71;4;3;3;3;3;4;4;3;3;4;3;2;3;1;3;2;4;2;1;5;2;1;4;2;2;4;2;2;4;4;5;1;2;4;3;2;4
2020/07/10 3:38:36 PM CET;0;40;1;28;3,83;2,86;3,33;4,33;3;2,71;3;2;2;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;4;2;4;2;2;4;2;4;3;4;2;4;4;2;3;3;5;3;3
2020/07/11 10:44:10 AM CET;0;57;0;36;2,42;2,05;2,83;2;1,67;2,43;4;3;3;3;3;4;4;4;4;4;2;2;3;1;1;2;4;2;3;3;3;2;1;5;4;2;3;5;1;1;5;1;3;3;3;3;3
2020/07/11 12:02:12 PM CET;0;18;1;30;3,25;2,07;3,5;3;3;1,14;3;3;3;3;3;4;2;3;3;3;4;3;5;3;2;5;1;5;5;1;5;3;4;2;5;1;3;5;1;3;5;1;4;2;1;5;1
2020/07/11 1:03:52 PM CET;0;47;0;29;3;2,69;3,33;2,67;1,67;3,71;3;2;3;3;3;3;2;4;3;3;1;1;5;3;1;1;5;1;2;4;5;1;1;5;1;5;3;5;1;4;4;2;1;5;3;2;4
2020/07/11 1:50:15 PM CET;0;22;1;32;2,75;3,36;3,17;2,33;4;2,71;3;4;3;3;3;4;3;3;3;3;3;5;3;3;4;5;1;2;1;5;3;4;3;3;3;3;3;3;3;2;5;1;3;3;3;3;3
2020/07/11 2:23:13 PM CET;0;19;1;31;1,83;2,79;2,33;1,33;3;2,57;3;3;3;2;3;4;3;3;3;4;1;4;3;3;1;3;3;1;2;4;4;2;2;4;3;3;1;5;1;2;5;1;2;4;1;4;2
2020/07/11 2:34:54 PM CET;1;70;1;28;3,92;2,07;3,83;4;2;2,14;3;3;3;2;3;3;2;3;3;3;4;1;5;3;4;4;2;4;4;2;5;2;4;2;4;2;3;2;4;5;5;1;4;2;3;4;2
2020/07/11 4:15:01 PM CET;0;49;1;27;1,75;2,24;1,17;2,33;2,33;2,14;3;2;3;2;2;3;2;3;3;4;1;3;1;2;1;4;2;2;3;3;2;2;5;1;5;1;1;4;2;3;5;1;2;4;2;4;2
2020/07/11 6:35:30 PM CET;0;67;1;29;2,42;3,21;2,5;2,33;3;3,43;3;3;2;3;3;3;3;3;3;3;1;4;3;3;2;1;5;2;3;3;4;2;3;3;2;4;2;3;3;3;2;4;4;2;2;3;3
2020/07/11 7:30:22 PM CET;0;51;1;36;2,33;3,24;3;1,67;3,33;3,14;4;3;4;4;4;3;4;3;3;4;3;5;4;1;3;1;5;1;2;4;4;4;4;2;4;2;2;3;3;2;4;2;3;3;2;3;3
2020/07/12 6:37:08 AM CET;0;49;0;31;3,75;3,69;4,17;3,33;2,67;4,71;3;3;3;4;3;3;3;3;3;3;3;3;5;3;4;1;5;3;1;5;4;2;1;5;1;5;4;1;5;4;1;5;3;3;3;1;5
2020/07/12 7:49:36 AM CET;0;48;0;28;3,5;1,98;3,67;3,33;1,67;2,29;2;3;3;3;3;4;4;4;1;1;4;2;5;1;3;5;1;2;4;2;3;2;1;5;1;5;2;5;1;3;4;2;2;4;5;5;1
2020/07/12 8:13:51 AM CET;0;61;0;30;1,17;3,38;1,33;1;3,33;3,43;3;3;3;3;3;3;3;3;3;3;1;3;1;3;1;1;5;1;2;4;2;4;4;2;4;2;1;2;4;1;3;3;4;2;1;2;4
2020/07/12 11:54:18 AM CET;1;28;1;27;1,75;3,02;1,5;2;2,33;3,71;3;2;3;3;2;3;3;2;3;3;1;2;1;1;1;1;5;2;2;4;2;4;3;3;4;2;1;2;4;2;1;5;3;3;2;3;3
2020/07/13 6:47:28 AM CET;1;58;0;31;3,17;3,33;4;2,33;3,67;3;3;2;3;3;3;3;3;4;4;3;4;3;4;4;4;3;3;3;2;4;4;4;2;4;4;2;4;4;2;2;4;2;2;4;2;2;4
2020/07/13 5:24:29 PM CET;0;31;0;34;1;1,93;1;1;2;1,86;4;3;3;4;4;4;2;4;4;2;1;2;1;1;1;3;3;1;4;2;1;3;5;1;4;2;1;4;2;1;4;2;5;1;1;5;1
2020/07/13 6:02:33 PM CET;0;35;1;27;1;1,76;1;1;1,67;1,86;2;2;2;3;3;3;3;3;3;3;1;1;1;1;1;2;4;1;5;1;1;3;5;1;4;2;1;3;3;1;5;1;5;1;1;5;1
2020/07/13 7:48:31 PM CET;1;26;1;37;2,17;2,31;1,33;3;2,33;2,29;3;3;3;4;4;4;4;4;4;4;1;1;1;3;1;3;3;3;4;2;1;3;3;3;5;1;1;4;2;3;4;2;3;3;3;3;3
2020/07/13 8:24:35 PM CET;1;41;1;31;1,75;3,07;2,17;1,33;3;3,14;4;3;3;3;3;3;3;3;3;3;1;4;4;1;1;1;5;1;4;2;4;4;5;1;5;1;2;2;4;2;3;3;4;2;1;1;5
2020/07/14 11:39:30 AM CET;0;27;0;36;2,5;3,57;2,67;2,33;4;3,14;4;4;3;3;3;4;4;3;4;4;2;4;3;3;2;1;5;5;1;5;1;5;1;5;5;1;3;4;2;1;5;1;2;4;1;2;4
